Terminated,Rehire,Department,Job Level,Has been promoted,LastRating,Client work travel,Education,Gender,Marital Status,tenure_year_bucket,salary_bucket
1,True,Audit,Manager,Yes,2,Medium Travel,Bcom,M,Married,5-10,High
0,False,Audit,Manager,Yes,2,High Travel,MSc ,F,Divorced,5-10,High
1,False,Financial Advisory,Manager,No,2,Medium Travel,MA,F,Married,3-5,High
0,False,Tax,Manager,Yes,2,Medium Travel,Bcom,M,Married,3-5,High
0,False,Risk Management,Lead Analyst,Yes,1,High Travel,Bachelor's Degree,F,Divorced,10-15,High
0,False,Finance,Staff I,Yes,2,Medium Travel,Msc Analytics,M,Married,15-20,Low
0,False,Audit,Staff I,Yes,2,Medium Travel,Msc Analytics,M,Married,20,Low
0,True,Financial Advisory,Analyst,Yes,2,Low,MA,F,Married,10-15,Medium
1,False,Tax,Senior Analyst,Yes,3,Medium Travel,Bachelors Degree,M,Single,5-10,Low
1,False,Finance,Lead Analyst,Yes,2,Medium Travel,MBA,M,Married,3-5,High
0,False,Financial Advisory,Staff I,Yes,2,Medium Travel,MA,M,Married,15-20,Low
0,False,Audit,Staff I,Yes,2,Low,Bachelors Degree,F,Single,15-20,Low
1,False,Finance,Lead Analyst,Yes,2,Medium Travel,Bachelors Degree,M,Married,5-10,High
0,False,Tax,Manager,Yes,2,High Travel,MSc ,F,Divorced,15-20,High
0,False,Audit,Staff II,Yes,2,Medium Travel,Bcom,M,Married,20,Low
0,False,Audit,Senior Analyst,Yes,1,High Travel,Bachelors Degree,F,Single,10-15,Medium
1,False,Financial Advisory,Manager,No,1,High Travel,Bachelor's Degree,F,Divorced,3-5,High
0,False,Financial Advisory,Analyst,Yes,1,Medium Travel,Bcom,M,Married,10-15,Low
1,False,Audit,Staff I,Yes,2,Medium Travel,MA,M,Married,5-10,Low
0,False,Sales,Analyst,Yes,2,Medium Travel,Bcom,M,Married,10-15,Medium
0,False,Support,Staff I,Yes,2,Medium Travel,MA,F,Married,15-20,Low
1,False,Sales,Analyst,Yes,2,High Travel,Bachelor's Degree,F,Divorced,5-10,Low
1,True,Risk Management,Lead Analyst,No,2,Low,Bachelors Degree,F,Single,0-3,High
1,True,Audit,Senior Analyst,Yes,2,High Travel,Bachelors Degree,F,Single,0-3,Medium
1,False,Financial Advisory,Lead Analyst,No,2,Medium Travel,MA,F,Married,5-10,High
1,False,Financial Advisory,Lead Analyst,Yes,2,High Travel,BA,F,Divorced,3-5,High
0,False,Tax,Senior Analyst,Yes,1,High Travel,Bachelor's Degree,F,Divorced,10-15,Low
0,False,Tax,Senior Analyst,Yes,2,Low,Bachelors Degree,F,Single,10-15,Low
0,False,Tax,Manager,Yes,2,Medium Travel,MA,M,Married,5-10,High
0,False,Tax,Senior Analyst,Yes,2,High Travel,MSc ,F,Divorced,10-15,Medium
0,False,Audit,Lead Analyst,Yes,3,Low,Bachelors Degree,F,Single,10-15,High
1,False,Finance,Manager,No,1.965571042,Medium Travel,MBA,M,Married,0-3,High
1,False,Tax,Lead Analyst,No,3,Medium Travel,Msc Analytics,M,Married,0-3,High
1,True,Audit,Staff I,Yes,2,Medium Travel,Msc Analytics,M,Married,10-15,Low
1,False,Risk Management,Analyst,Yes,1,Medium Travel,MBA,M,Married,3-5,Medium
1,False,Audit,Staff I,Yes,3,Medium Travel,MBA,M,Married,5-10,Low
1,False,Audit,Senior Analyst,No,1.965571042,High Travel,Bachelor's Degree,F,Divorced,0-3,Low
0,False,Audit,Senior Analyst,Yes,2,High Travel,Bachelors Degree,F,Single,5-10,Medium
1,True,Tax,Senior Analyst,No,2,Medium Travel,Msc Analytics,M,Married,3-5,Low
0,False,Audit,Staff I,Yes,2,Medium Travel,Bcom,M,Married,20,Low
1,False,Financial Advisory,Staff II,Yes,1,Medium Travel,Bcom,M,Married,5-10,Medium
1,False,Audit,Staff I,Yes,1,Medium Travel,Bcom,M,Married,5-10,Low
1,False,Risk Management,Senior Analyst,No,2,Low,Bachelors Degree,F,Single,3-5,Low
1,False,Audit,Staff I,Yes,2,Medium Travel,MA,F,Married,5-10,Low
1,True,Audit,Senior Analyst,Yes,2,Medium Travel,Bcom,M,Married,0-3,Low
1,False,Audit,Staff I,Yes,2,Medium Travel,Bachelors Degree,M,Single,5-10,Low
1,False,Audit,Staff I,Yes,2,Low,Bachelors Degree,F,Single,5-10,Low
0,False,Audit,Staff I,Yes,2,Medium Travel,MBA,M,Married,5-10,Low
1,False,Tax,Staff II,Yes,2,Medium Travel,Bachelors Degree,M,Married,5-10,Medium
1,False,Audit,Senior Analyst,No,2,High Travel,Bachelor's Degree,F,Divorced,3-5,Low
1,False,Risk Management,Senior Analyst,No,2,High Travel,MSc ,F,Divorced,0-3,Medium
1,False,Financial Advisory,Senior Analyst,No,1.965571042,Medium Travel,Bachelors Degree,M,Married,0-3,Medium
0,False,Audit,Lead Analyst,Yes,1.965571042,Medium Travel,Bcom,M,Married,0-3,High
1,False,Audit,Staff II,Yes,3,Medium Travel,MA,M,Married,0-3,Medium
1,False,Audit,Senior Analyst,Yes,1,Medium Travel,Bcom,M,Married,0-3,Medium
1,False,Audit,Staff I,Yes,2,Medium Travel,MBA,M,Married,3-5,Low
0,False,Risk Management,Senior Analyst,Yes,1,High Travel,Bachelors Degree,F,Single,3-5,Medium
0,False,Risk Management,Analyst,Yes,2,Medium Travel,Bcom,M,Married,5-10,Medium
1,False,Audit,Staff I,Yes,2,Low,Bachelors Degree,F,Single,5-10,Low
1,False,Audit,Senior Analyst,No,2,Medium Travel,MBA,M,Married,0-3,Medium
1,False,Tax,Senior Analyst,No,3,Medium Travel,MA,M,Married,0-3,Medium
0,True,Tax,Senior Analyst,Yes,1,Medium Travel,MA,F,Married,3-5,Medium
1,True,Audit,Manager,Yes,2,Medium Travel,Bachelors Degree,M,Married,0-3,High
1,False,Sales,Manager,No,2,Medium Travel,Msc Analytics,M,Married,0-3,High
0,False,Audit,Manager,Yes,1,Medium Travel,Bachelors Degree,M,Single,3-5,High
0,True,unknown,Lead Analyst,Yes,1,High Travel,Bachelor's Degree,F,Divorced,15-20,High
1,False,Risk Management,Lead Analyst,No,1.965571042,Low,Bachelors Degree,F,Single,0-3,High
1,True,Audit,Manager,Yes,2,Medium Travel,MA,F,Married,5-10,High
0,False,Audit,Staff I,Yes,1,Medium Travel,Bcom,M,Married,0-3,Low
0,False,Audit,Senior Analyst,Yes,2,Low,Bachelors Degree,F,Single,3-5,Medium
0,False,Audit,Senior Analyst,Yes,2,Medium Travel,Bcom,M,Married,5-10,Low
1,False,Financial Advisory,Senior Analyst,No,2,Medium Travel,Bcom,M,Married,3-5,Low
1,False,Audit,Staff I,Yes,1,Medium Travel,Msc Analytics,M,Married,3-5,Low
1,False,Audit,Staff I,Yes,2,Medium Travel,MA,M,Married,5-10,Low
1,False,Tax,Staff I,Yes,3,Medium Travel,MA,F,Married,5-10,Low
1,True,Audit,Staff I,Yes,3,High Travel,Bachelor's Degree,F,Divorced,0-3,Low
0,True,Audit,Analyst,Yes,2,High Travel,Bachelors Degree,F,Single,15-20,Medium
1,False,Audit,Staff I,Yes,2,Medium Travel,Bachelors Degree,M,Married,3-5,Low
1,False,Audit,Staff I,Yes,3,Medium Travel,MA,M,Married,5-10,Low
0,False,Audit,Staff II,Yes,2,Medium Travel,Bachelors Degree,M,Single,5-10,Low
1,False,Risk Management,Staff II,Yes,2,Medium Travel,Bachelors Degree,M,Single,5-10,Low
1,False,Audit,Staff II,Yes,2,High Travel,BA,F,Divorced,3-5,Medium
1,False,Audit,Staff I,Yes,2,Low,Bachelors Degree,F,Single,3-5,Low
1,False,Audit,Staff I,Yes,2,Medium Travel,Bachelors Degree,M,Married,5-10,Low
1,False,Financial Advisory,Staff II,Yes,2,Medium Travel,Bachelors Degree,M,Single,3-5,Low
1,False,Audit,Staff I,Yes,2,High Travel,Bachelor's Degree,F,Divorced,3-5,Low
1,True,Audit,Senior Analyst,Yes,2,High Travel,Bachelor's Degree,F,Divorced,0-3,Medium
1,True,Audit,Senior Analyst,Yes,3,Medium Travel,MBA,M,Married,0-3,Medium
0,False,Audit,Staff I,Yes,1,High Travel,Bachelor's Degree,F,Divorced,0-3,Low
1,False,Tax,Staff II,No,2,High Travel,Bachelor's Degree,F,Divorced,3-5,Medium
1,False,Tax,Staff II,Yes,2,Medium Travel,Msc Analytics,M,Married,3-5,Medium
0,False,Tax,Staff I,Yes,1,Medium Travel,Bcom,M,Married,5-10,Low
0,False,Audit,Staff I,Yes,1,Low,MA,F,Married,3-5,Low
0,False,Tax,Staff II,Yes,2,Medium Travel,Bachelors Degree,M,Married,5-10,Medium
0,False,Audit,Staff I,Yes,2,Medium Travel,MA,M,Married,15-20,Low
0,False,Consulting,Staff II,Yes,1,Medium Travel,Msc Analytics,M,Married,3-5,Low
0,False,unknown,Staff I,Yes,2,Medium Travel,MA,F,Married,15-20,Low
0,False,Financial Advisory,Staff II,Yes,1,Medium Travel,MA,M,Married,10-15,Medium
0,False,Finance,Staff I,Yes,1,Medium Travel,Bcom,M,Married,3-5,Low
1,False,Audit,Staff II,Yes,1,High Travel,Bachelor's Degree,F,Divorced,0-3,Low
0,False,Financial Advisory,Staff II,Yes,2,Medium Travel,MA,F,Married,10-15,Medium
0,False,Audit,Staff I,Yes,2,High Travel,Bachelor's Degree,F,Divorced,5-10,Low
0,True,Tax,Senior Analyst,Yes,2,Low,Bachelors Degree,F,Single,5-10,Medium
0,False,Tax,Staff II,Yes,2,High Travel,MSc ,F,Divorced,5-10,Medium
0,False,Audit,Staff I,Yes,2,Medium Travel,Msc Analytics,M,Married,5-10,Low
0,False,Audit,Staff I,Yes,2,Medium Travel,Bcom,M,Married,5-10,Low
0,False,Audit,Staff I,Yes,2,High Travel,Bachelors Degree,F,Single,10-15,Low
0,False,Audit,Senior Analyst,Yes,2,Medium Travel,MA,M,Married,5-10,Low
0,False,Audit,Staff I,Yes,3,Low,Bachelors Degree,F,Single,10-15,Low
1,False,Audit,Senior Analyst,No,2,Medium Travel,MA,M,Married,0-3,Medium
1,False,Audit,Staff II,Yes,2,Medium Travel,Msc Analytics,M,Married,0-3,Low
1,False,Audit,Staff I,Yes,4,High Travel,Bachelor's Degree,F,Divorced,5-10,Low
1,False,Audit,Staff I,Yes,2,High Travel,Bachelors Degree,F,Married,3-5,Low
0,False,Audit,Staff I,Yes,2,Medium Travel,Bcom,M,Married,20,Low
0,False,Audit,Staff I,Yes,2,High Travel,BA,F,Divorced,15-20,Low
0,True,Financial Advisory,Staff II,Yes,1,Medium Travel,Msc Analytics,M,Married,5-10,Medium
0,False,Audit,Staff II,Yes,2,Low,MA,F,Married,5-10,Low
0,False,Financial Advisory,Staff II,Yes,2,Medium Travel,Msc Analytics,M,Married,3-5,Low
0,False,Finance,Staff II,Yes,3,High Travel,Bachelors Degree,F,Single,3-5,Medium
1,False,Financial Advisory,Staff II,No,3,Medium Travel,Msc Analytics,M,Married,0-3,Medium
1,False,Finance,Staff II,Yes,1,Medium Travel,Bachelors Degree,M,Married,3-5,Medium
1,False,Audit,Staff I,Yes,2,Medium Travel,MA,F,Married,3-5,Low
0,False,Risk Management,Staff I,Yes,2,Medium Travel,MA,M,Married,3-5,Low
1,False,Audit,Staff I,Yes,2,Medium Travel,MA,F,Married,0-3,Low
0,False,Audit,Analyst,Yes,1.965571042,Low,Bachelors Degree,F,Single,20,Medium
1,False,Finance,Staff I,No,3,Medium Travel,Bachelors Degree,M,Married,0-3,Low
0,True,Audit,Staff I,Yes,2,Medium Travel,Bachelors Degree,M,Married,3-5,Low
0,False,Audit,Staff I,Yes,2,High Travel,MSc ,F,Divorced,5-10,Low
1,False,Audit,Staff I,Yes,2,Medium Travel,Bachelors Degree,M,Married,0-3,Low
1,False,Audit,Staff I,Yes,2,Medium Travel,MA,F,Married,3-5,Low
1,False,Audit,Staff I,Yes,2,Medium Travel,Msc Analytics,M,Married,0-3,Low
0,False,Audit,Staff I,Yes,2,High Travel,Bachelors Degree,F,Single,15-20,Low
1,False,Audit,Staff I,No,3,Medium Travel,Bachelors Degree,M,Single,0-3,Low
1,False,Audit,Staff I,Yes,1,High Travel,Bachelors Degree,F,Single,0-3,Low
1,False,Audit,Staff I,No,2,Medium Travel,MBA,M,Married,5-10,Low
0,False,Audit,Staff I,Yes,2,Medium Travel,MBA,M,Married,0-3,Low
1,False,Audit,Staff I,Yes,3,Medium Travel,Bcom,M,Married,0-3,Low
0,False,Audit,Staff I,Yes,2,Low,MA,F,Married,0-3,Low
0,False,Audit,Staff I,Yes,2,High Travel,BA,F,Divorced,0-3,Low
0,False,Audit,Staff I,Yes,2,Medium Travel,MBA,M,Married,0-3,Low
0,False,Audit,Staff I,Yes,2,Medium Travel,Bachelors Degree,M,Married,0-3,Low
0,False,Risk Management,Staff II,Yes,3,High Travel,BA,F,Divorced,5-10,Medium
1,True,Audit,Staff I,Yes,2,Medium Travel,Bachelors Degree,M,Married,3-5,Low
1,False,Audit,Staff I,Yes,2,Medium Travel,MA,M,Married,3-5,Low
0,False,Audit,Staff I,Yes,1,High Travel,BA,F,Divorced,15-20,Low
0,False,Risk Management,Staff I,Yes,2,High Travel,MSc ,F,Divorced,5-10,Low
1,False,Audit,Lead Analyst,No,1.965571042,Medium Travel,Bcom,M,Married,0-3,High
0,False,Sales,Staff I,Yes,2,Medium Travel,MA,M,Married,15-20,Low
1,False,Audit,Staff II,Yes,2,Low,Bachelors Degree,F,Single,3-5,Medium
0,False,Finance,Analyst,Yes,2,Medium Travel,MBA,M,Married,0-3,Medium
0,False,Financial Advisory,Staff II,Yes,1,Medium Travel,Bcom,M,Married,3-5,Medium
1,False,Sales,Lead Analyst,No,2,Medium Travel,MA,M,Married,0-3,High
1,False,Audit,Staff I,Yes,1,Medium Travel,Bachelors Degree,M,Married,5-10,Low
0,False,Tax,Lead Analyst,Yes,1,Medium Travel,Bcom,M,Married,5-10,High
0,False,Audit,Manager,Yes,1,Medium Travel,MA,F,Married,5-10,High
0,False,Financial Advisory,Senior Analyst,Yes,2,High Travel,BA,F,Divorced,5-10,Medium
1,False,Audit,Staff I,Yes,2,Low,Bachelors Degree,F,Single,5-10,Low
1,True,Audit,Lead Analyst,Yes,2,High Travel,MSc ,F,Divorced,5-10,High
1,False,Financial Advisory,Senior Analyst,Yes,2,High Travel,Masters,F,Divorced,5-10,Low
0,False,IT,Lead Analyst,Yes,1,Medium Travel,Bcom,M,Married,3-5,High
1,False,Audit,Staff I,Yes,3,High Travel,Bachelor's Degree,F,Divorced,5-10,Low
1,False,Financial Advisory,Senior Analyst,Yes,3,High Travel,BA,F,Divorced,5-10,Medium
1,False,Finance,Senior Analyst,Yes,2,Medium Travel,MA,F,Married,3-5,Medium
0,False,Finance,Staff II,Yes,1,Low,Bachelors Degree,F,Single,15-20,Medium
0,False,Financial Advisory,Senior Analyst,Yes,1,Medium Travel,MA,M,Married,5-10,Medium
0,False,Audit,Senior Analyst,Yes,2,High Travel,Bachelors Degree,F,Single,10-15,Low
1,True,Financial Advisory,Manager,Yes,1.965571042,Medium Travel,Bachelors Degree,M,Single,0-3,High
1,False,Tax,Staff II,Yes,2,High Travel,Bachelor's Degree,F,Divorced,0-3,Medium
0,False,Tax,Senior Analyst,Yes,2,Medium Travel,Bachelors Degree,M,Married,5-10,Low
0,False,Tax,Staff II,Yes,3,Low,Bachelors Degree,F,Single,5-10,Medium
0,False,Tax,Staff II,Yes,2,Medium Travel,Bachelors Degree,M,Married,5-10,Low
0,False,Audit,Staff I,Yes,1,Medium Travel,Bcom,M,Married,5-10,Low
0,False,Finance,Senior Analyst,Yes,2,High Travel,MSc ,F,Divorced,5-10,Low
0,False,Financial Advisory,Senior Analyst,Yes,2,Medium Travel,MA,F,Married,5-10,Low
1,False,Audit,Staff I,Yes,2,High Travel,Bachelors Degree,F,Single,5-10,Low
1,False,Tax,Staff II,Yes,3,Low,Bachelors Degree,F,Single,5-10,Low
0,False,Finance,Staff I,Yes,2,High Travel,MSc ,F,Divorced,5-10,Low
0,False,Sales,Staff I,Yes,2,Medium Travel,MA,F,Married,20,Low
0,False,Finance,Staff I,Yes,1.965571042,High Travel,MSc ,F,Divorced,5-10,Low
1,False,Tax,Staff I,No,2,High Travel,Bachelor's Degree,F,Divorced,3-5,Low
1,False,Financial Advisory,Analyst,No,2,High Travel,MSc ,F,Divorced,0-3,Low
0,False,Sales,Staff I,Yes,1,High Travel,Bachelor's Degree,F,Divorced,20,Low
1,False,Finance,Staff II,Yes,2,Medium Travel,Bcom,M,Married,3-5,Medium
0,False,Finance,Staff I,Yes,2,High Travel,MSc ,F,Divorced,10-15,Low
1,False,Audit,Staff I,Yes,3,High Travel,MSc ,F,Divorced,3-5,Low
1,False,Audit,Staff I,Yes,1,Low,Bachelors Degree,F,Single,0-3,Low
0,False,IT,Staff I,Yes,1,High Travel,Bachelor's Degree,F,Divorced,15-20,Low
0,False,Audit,Staff I,Yes,2,Medium Travel,Bachelors Degree,M,Single,10-15,Low
0,False,Risk Management,Senior Analyst,Yes,1,High Travel,Bachelor's Degree,F,Divorced,15-20,Low
1,False,Audit,Staff I,Yes,3,Medium Travel,Msc Analytics,M,Married,5-10,Low
1,False,Finance,Staff II,Yes,1,Medium Travel,MBA,M,Married,3-5,Medium
1,False,Financial Advisory,Staff II,Yes,3,Medium Travel,MBA,M,Married,3-5,Low
1,False,Financial Advisory,Analyst,No,2,Medium Travel,MA,M,Married,0-3,Low
0,False,Financial Advisory,Staff II,Yes,2,High Travel,Bachelor's Degree,F,Divorced,5-10,Low
1,False,Sales,Staff II,Yes,1,High Travel,MSc ,F,Divorced,3-5,Medium
0,False,Financial Advisory,Staff I,Yes,1,High Travel,MSc ,F,Divorced,20,Low
1,False,Risk Management,Analyst,Yes,2,Medium Travel,Bcom,M,Married,3-5,Low
0,False,Financial Advisory,Analyst,Yes,2,Low,Bachelors Degree,F,Single,3-5,Medium
0,False,Financial Advisory,Staff I,Yes,2,Medium Travel,Msc Analytics,M,Married,20,Low
1,False,Financial Advisory,Staff II,Yes,1,Medium Travel,MA,M,Married,3-5,Medium
1,False,Financial Advisory,Analyst,Yes,2,Medium Travel,MA,M,Married,3-5,Medium
0,False,Tax,Staff I,Yes,1,Medium Travel,MBA,M,Married,20,Low
1,False,Tax,Analyst,No,2,Medium Travel,MA,M,Married,0-3,Medium
0,False,IT,Staff I,Yes,1,Medium Travel,Bcom,M,Married,5-10,Low
1,False,Financial Advisory,Staff II,Yes,2,Medium Travel,Bcom,M,Married,0-3,Low
0,False,Risk Management,Analyst,Yes,3,High Travel,Bachelors Degree,F,Single,3-5,Medium
0,False,Tax,Staff II,Yes,3,Medium Travel,MBA,M,Married,0-3,Medium
0,False,Audit,Staff II,Yes,2,Low,Bachelors Degree,F,Single,5-10,Low
0,False,Financial Advisory,Staff II,Yes,2,Medium Travel,Bachelors Degree,M,Married,5-10,Medium
0,False,Finance,Staff II,Yes,2,High Travel,Bachelors Degree,F,Single,5-10,Medium
1,False,Finance,Staff II,No,1,Medium Travel,MBA,M,Married,3-5,Medium
1,False,Sales,Staff I,Yes,2,Medium Travel,Msc Analytics,M,Married,5-10,Low
0,False,Finance,Analyst,Yes,2,High Travel,Bachelor's Degree,F,Divorced,3-5,Medium
1,False,Risk Management,Analyst,Yes,2,Medium Travel,MBA,M,Married,5-10,Medium
0,False,Financial Advisory,Senior Analyst,Yes,2,Medium Travel,MBA,M,Married,10-15,Medium
0,False,Tax,Staff I,Yes,1,High Travel,Bachelors Degree,F,Single,5-10,Low
0,False,Tax,Senior Analyst,Yes,2,Medium Travel,MBA,M,Married,5-10,Low
1,False,Financial Advisory,Lead Analyst,No,2,Medium Travel,Bcom,M,Married,0-3,High
1,False,Audit,Manager,No,1,Medium Travel,MBA,M,Married,3-5,High
0,False,Finance,Lead Analyst,Yes,2,Medium Travel,Msc Analytics,M,Married,3-5,High
1,False,Finance,Senior Analyst,Yes,2,Medium Travel,Bcom,M,Married,5-10,Low
1,False,Audit,Staff I,Yes,2,Medium Travel,MA,F,Married,10-15,Low
1,False,Sales,Lead Analyst,Yes,2,Low,Bachelors Degree,F,Single,5-10,High
0,False,Audit,Lead Analyst,Yes,1,High Travel,Bachelor's Degree,F,Divorced,10-15,High
0,True,Financial Advisory,Manager,Yes,1.965571042,High Travel,MSc ,F,Divorced,0-3,High
1,False,Financial Advisory,Manager,No,2,High Travel,Bachelor's Degree,F,Divorced,5-10,High
1,False,IT,Manager,No,2,High Travel,BA,F,Divorced,5-10,High
0,False,Tax,Lead Analyst,Yes,2,Low,Bachelors Degree,F,Single,3-5,High
1,False,Financial Advisory,Lead Analyst,No,2,Medium Travel,MBA,M,Married,0-3,High
1,False,Risk Management,Senior Analyst,Yes,3,Low,MA,F,Married,5-10,Medium
1,False,Financial Advisory,Lead Analyst,Yes,2,High Travel,Bachelor's Degree,F,Divorced,5-10,High
1,False,Risk Management,Lead Analyst,No,2,High Travel,MSc ,F,Divorced,5-10,High
0,True,Finance,Senior Analyst,Yes,2,Medium Travel,Bcom,M,Married,5-10,Medium
1,True,Tax,Manager,No,2,Medium Travel,MA,F,Married,5-10,High
0,False,Financial Advisory,Senior Analyst,Yes,1,High Travel,MSc ,F,Divorced,5-10,Medium
1,False,Financial Advisory,Lead Analyst,No,1.965571042,Low,Bachelors Degree,F,Single,0-3,High
1,False,Finance,Lead Analyst,No,1,Medium Travel,Msc Analytics,M,Married,3-5,High
1,False,Finance,Analyst,Yes,2,Low,Bachelors Degree,F,Single,3-5,Medium
0,False,Audit,Manager,Yes,2,High Travel,Bachelor's Degree,F,Divorced,5-10,High
0,False,Sales,Lead Analyst,Yes,1,Medium Travel,MA,M,Married,5-10,High
1,False,Audit,Staff II,Yes,3,Medium Travel,Msc Analytics,M,Married,5-10,Medium
0,False,IT,Staff I,Yes,1,High Travel,MSc ,F,Divorced,10-15,Low
0,False,Financial Advisory,Staff II,Yes,2,Medium Travel,Bcom,M,Married,5-10,Medium
0,False,Sales,Analyst,Yes,2,Medium Travel,MBA,M,Married,5-10,Low
0,False,Tax,Staff I,Yes,2,Medium Travel,MA,M,Married,10-15,Low
0,False,Consulting,Staff II,Yes,2,Medium Travel,Bachelors Degree,M,Married,5-10,Medium
0,False,Finance,Staff I,Yes,1,Medium Travel,MBA,M,Married,20,Low
0,False,Tax,Staff I,Yes,1,Medium Travel,Bachelors Degree,M,Single,10-15,Low
0,False,Financial Advisory,Staff II,Yes,2,Low,Bachelors Degree,F,Single,3-5,Low
1,False,Finance,Analyst,No,2,Medium Travel,MA,F,Married,0-3,Low
0,True,Finance,Senior Analyst,Yes,2,Medium Travel,Bachelors Degree,M,Single,0-3,Medium
1,False,Risk Management,Staff II,Yes,2,High Travel,MSc ,F,Divorced,5-10,Medium
0,False,Financial Advisory,Analyst,Yes,3,High Travel,Bachelor's Degree,F,Divorced,3-5,Medium
0,True,Tax,Staff I,Yes,2,Medium Travel,MA,M,Married,15-20,Low
1,False,Audit,Staff I,Yes,2,High Travel,Bachelors Degree,F,Single,3-5,Low
1,False,Risk Management,Analyst,No,1,High Travel,Bachelors Degree,F,Single,3-5,Medium
0,False,Financial Advisory,Staff II,Yes,1,Medium Travel,Msc Analytics,M,Married,5-10,Low
0,False,Risk Management,Analyst,Yes,1,Medium Travel,MBA,M,Married,3-5,Medium
1,False,Financial Advisory,Analyst,Yes,2,Medium Travel,MA,F,Married,0-3,Low
0,False,Tax,Staff I,Yes,2,Medium Travel,Bcom,M,Married,15-20,Low
0,False,Financial Advisory,Staff II,Yes,1,Medium Travel,Bcom,M,Married,3-5,Low
1,False,Support,Analyst,No,2,Medium Travel,MA,F,Married,3-5,Medium
0,False,Sales,Staff II,Yes,1,Medium Travel,Msc Analytics,M,Married,3-5,Medium
0,False,IT,Analyst,Yes,1,Medium Travel,Bcom,M,Married,3-5,Low
0,False,IT,Analyst,Yes,1,High Travel,Bachelors Degree,F,Single,5-10,Medium
0,False,Audit,Staff I,Yes,2,High Travel,Bachelors Degree,F,Single,5-10,Low
1,True,Audit,Staff I,Yes,2,High Travel,Bachelors Degree,F,Single,3-5,Low
1,True,Tax,Senior Analyst,Yes,2,Medium Travel,MA,M,Married,0-3,Medium
1,False,Audit,Staff I,Yes,1,Medium Travel,MA,M,Married,10-15,Low
1,True,Tax,Senior Analyst,Yes,3,Medium Travel,MBA,M,Married,3-5,Medium
1,True,Tax,Senior Analyst,Yes,3,Medium Travel,Bachelors Degree,M,Married,0-3,Medium
1,False,Audit,Staff I,Yes,2,High Travel,Bachelor's Degree,F,Divorced,5-10,Low
1,False,Audit,Staff I,Yes,1,Medium Travel,MA,M,Married,3-5,Low
0,False,Tax,Staff II,Yes,3,Medium Travel,Msc Analytics,M,Married,5-10,Medium
0,True,Audit,Senior Analyst,Yes,2,High Travel,Bachelor's Degree,F,Divorced,5-10,Medium
1,False,Audit,Staff I,Yes,2,Medium Travel,MA,M,Married,5-10,Low
0,False,Audit,Staff I,Yes,2,High Travel,Masters,F,Divorced,5-10,Low
0,False,Financial Advisory,Senior Analyst,Yes,2,Medium Travel,MA,F,Married,0-3,Medium
1,False,Audit,Staff I,Yes,2,Medium Travel,MA,F,Married,3-5,Low
1,False,Sales,Staff I,Yes,2,Medium Travel,Msc Analytics,M,Married,5-10,Low
1,False,Finance,Analyst,Yes,2,High Travel,Bachelors Degree,F,Single,3-5,Low
1,False,Financial Advisory,Senior Analyst,Yes,2,Medium Travel,Bachelors Degree,M,Married,0-3,Low
1,False,Financial Advisory,Senior Analyst,No,1,Medium Travel,Msc Analytics,M,Married,0-3,Low
1,False,Audit,Senior Analyst,No,2,Medium Travel,MA,M,Married,5-10,Medium
1,False,Tax,Staff II,Yes,3,Medium Travel,MA,M,Married,5-10,Low
0,False,Audit,Staff I,Yes,2,Medium Travel,Msc Analytics,M,Married,5-10,Low
1,False,Audit,Staff I,Yes,2,Medium Travel,Bcom,M,Married,3-5,Low
0,False,Finance,Analyst,Yes,1,Medium Travel,MA,F,Married,5-10,Low
0,False,Financial Advisory,Senior Analyst,Yes,2,Medium Travel,MA,M,Married,3-5,Medium
0,False,Tax,Senior Analyst,Yes,2,Medium Travel,Msc Analytics,M,Married,3-5,Low
0,False,Audit,Staff I,Yes,2,Low,Bachelors Degree,F,Single,5-10,Low
1,False,Audit,Staff I,Yes,1,Medium Travel,Bachelors Degree,M,Married,5-10,Low
0,False,Finance,Senior Analyst,Yes,2,Medium Travel,Bcom,M,Married,3-5,Medium
1,False,Financial Advisory,Senior Analyst,No,1.965571042,Medium Travel,Bcom,M,Married,0-3,Low
0,False,Audit,Staff I,Yes,2,High Travel,Bachelors Degree,F,Single,5-10,Low
1,False,Finance,Senior Analyst,No,2,Medium Travel,Bachelors Degree,M,Married,3-5,Low
1,False,Audit,Staff I,Yes,2,Medium Travel,Bcom,M,Married,3-5,Low
1,False,Risk Management,Analyst,Yes,2,Low,Bachelors Degree,F,Single,3-5,Medium
1,False,Audit,Staff I,Yes,2,Medium Travel,Bcom,M,Married,3-5,Low
1,False,Audit,Staff I,Yes,3,High Travel,Bachelors Degree,F,Single,3-5,Low
1,False,Audit,Staff I,Yes,3,Medium Travel,MA,F,Married,5-10,Low
0,False,Audit,Manager,Yes,2,Medium Travel,Msc Analytics,M,Married,0-3,High
1,False,Audit,Staff I,Yes,3,Medium Travel,Bachelors Degree,M,Single,3-5,Low
0,True,Finance,Lead Analyst,Yes,1.965571042,Medium Travel,MA,M,Married,0-3,High
1,False,Finance,Analyst,Yes,2,Medium Travel,MBA,M,Married,3-5,Low
1,False,Audit,Staff I,Yes,2,Medium Travel,Bcom,M,Married,5-10,Low
1,False,Audit,Staff I,Yes,2,High Travel,Bachelor's Degree,F,Divorced,5-10,Low
